name,count,whoami
thomas e. perez,47
james byrd jr.,42
vanita gupta,35
jr.,18
james byrd,17
saeed mody,15
sheldon l. beer,14
jocelyn samuels,13
deryl paul dedmon,11
dylan wade butler,11
glenda r. haynes,11
john aaron rice,11
james craig anderson,10
john gore,10
paige m. fitzgerald,10
gregory k. davis,9
nicholas durham,9
paul dedmon,9
benjamin b. wagner,8
jonathan kyle gaskamp,8
tom wheeler,8
william kirk montgomery,8
kenneth magidson,7
sarah adelia graves,7
chiraag bains,6
crystal springs,6
eric holder,6
gerard hogan,6
loretta e. lynch,6
anthony merrell tyler,5
barack obama,5
bridget m. brennan,5
brooke richards,5
dana mulhauser,5
daniel s. mullet,5
edward chung,5
eli m. miller,5
johnny s. mullet,5
joseph paul dominick,5
kristy parker,5
levi f. miller,5
loretta king,5
nigel garrett,5
risa berkower,5
robert henry rice,5
ruben perez,5
samuel mullet sr.,5
shelbie brooke richards,5
tracey batson,5
trial attorneys jared fishman,5
act,4
angie cha,4
anna miller,4
billy james hammett,4
brandon piekarsky,4
brit featherston,4
bruce miyake,4
chancler encalade,4
conner eldridge,4
derrick donchak,4
freeman burkholder,4
george l. beck jr.,4
jimmy garza jr.,4
john a. mendez,4
john louis blalack,4
lester miller,4
lester mullet,4
linda shrock,4
mary j. mudrick,4
mona furst,4
myesha braden,4
olimpia michel,4
perry sylvester jackson,4
ramiro serrata jr.,4
raymond miller,4
sean popejoy,4
steven joshua dinkle,4
steven m. dettelbach,4
thomas getz,4
annette l. hayes,3
anthony ray jenkins,3
anthony shelton,3
armando sotelo,3
brian kerstetter,3
cameron ajiduah,3
carlos esqueda,3
carole s. rendon,3
charles butler,3
charles cannon,3
charles wilhelm,3
christine m. siscaretti,3
david jason jenkins,3
david martin,3
elizabeth a. miller,3
emanuel schrock,3
emanuel shrock,3
emma j. miller,3
erin aslan,3
jared fishman,3
jerusha t. adams,3
jesse sanford,3
joseph dominick,3
julia gegenheimer,3
kathryn miller,3
kevin pennington,3
lovina miller,3
luis ramirez,3
macon openshaw,3
matthew nestor,3
michael freeman,3
michael mclaughlin,3
nathaniel reeds,3
omar cantero martinez,3
pamela morris,3
paul beebe,3
reema el-amamy,3
robert paschalis,3
sarah r. saldaa,3
stephanie a. finley,3
steven stokes,3
trial attorney chiraag bains,3
trial attorney fara gold,3
trial attorney saeed mody,3
victor boutros,3
william hatch,3
william moyer,3
alex lewis,2
andr birotte jr.,2
angela munoz-kaphing,2
anthony morfitt,2
ashley jenkins,2
b. lynn winmill,2
barbara mcquade,2
benjamin g. greenberg,2
beth phillips,2
bill lewis,2
bill nettles,2
boogie,2
brad parham,2
brian wallis,2
brice johnson,2
byrd act,2
cara foos pierce,2
carlos hernandez,2
carol k.o. lee,2
chase mcclary,2
christopher c. myers,2
christopher freeze,2
christopher lomax,2
christopher perras,2
christopher r. thyer,2
cindy chung,2
conrad alvin barrett,2
crane,2
dana j. boente,2
daniel george fisher,2
daniel mcmullen,2
david ketchmark,2
dustin hammond,2
eddie wright,2
edwin felix,2
efren marquez jr.,2
eric clawson,2
errin martin,2
everett dwayne avery,2
faithe moore taylor,2
fara gold,2
francisco farias,2
frankie maybee,2
gabriel davis,2
gallo,2
gary dodson,2
georgia silva,2
gerald wallace,2
gerard v. hogan,2
gray miller,2
gregory thomas sr.,2
harry c. wallace,2
henry clay glaspell,2
henry leventis,2
hydee hawkins,2
jake murphy,2
james craig andersons,2
james lee wallis jr.,2
james whitewater,2
james william hill iii,2
jamie larson,2
jason hayes,2
jean mcintosh,2
jeffrey aguilar,2
jennifer hartpence,2
jenny a. durkan,2
jimmy garza,2
joe grivette,2
joe magliolo,2
joel matthew monarrez,2
john corbett,2
john hall,2
john healey,2
john ray white,2
john w. ng,2
jonathan portillo,2
jose saucedo,2
joseph silva,2
junior,2
kelly schneider,2
kenneth j. gonzales,2
kevin w. techau,2
kyra e. jenner,2
kyra jenner,2
lee baca,2
lester s. mullet,2
lil moe,2
linda r. reade,2
linda weston,2
mack e. jenkins,2
malo,2
maria chapa lopez,2
mark blumberg,2
martin luther king jr.,2
mary mudrick,2
matthew gust,2
matthew shepard,2
megan a. healy,2
mercedes williamson,2
michael bullard,2
michael j. frank,2
michael ron david kadar,2
nicklaus woodard,2
nicole lee ndumele,2
obama,2
pelon,2
ramona gardens,2
randy metcalf,2
richard armstrong,2
richard p. barrett,2
robert a. junell,2
roberto ortega,2
roy l. austin jr.,2
ruben r. perez,2
russell carlberg,2
s. david schiller,2
samantha trepel,2
samuel mullet,2
shelby brooke richards,2
stephen anthony,2
steven nelson,2
steven scott cantrell,2
tena campbell,2
teresa witthar,2
terry j. hatter jr.,2
terry r. means,2
thomas windell smith,2
tony l. johnson,2
trayvon martin,2
trial attorney adriana vieco,2
trial attorneys saeed mody,2
washington jenny,2
wendy j. olson,2
wendy olson,2
wendy treybig,2
william kyle montgomery,2
a. bradley parham,1
a. lee bentley iii,1
a. richard caputo,1
abe martinez,1
adam aichele,1
adam s. lee,1
adam w. purinton,1
adeel zeb,1
aejean cha,1
alan jones,1
alexis jenkins,1
alexis leeann,1
alexis leeann jenkins,1
alok madasani,1
andre birotte jr.,1
andrew luger,1
andrew m. luger,1
angeline echevarria,1
ann aiken,1
ann m. anaya,1
anthony cavallo,1
anthony sankey,1
arlen specter,1
b. todd jones,1
barack obamas,1
beau edward hansen,1
ben wagner,1
benjamin haskell,1
benjamin wagner,1
benton j. campbell,1
betsy biffl,1
bill augsburger,1
bill killian,1
billy hammett,1
billy pratt,1
blalack,1
blalack rice,1
blanche cook,1
brad j. bilderback,1
brandon vallum,1
bremerton,1
brent alan gray,1
brian a. truchon,1
brian carranza,1
brittany whedbee,1
bruce f. miyake,1
bryan garaventa,1
bud fitzgerald,1
c. douglas kern,1
