title,case,command
release_02927.txt,14,find . -name release_02927.txt
release_03075.txt,14,find . -name release_03075.txt
release_00063.txt,15,find . -name release_00063.txt
release_02486.txt,15,find . -name release_02486.txt
release_01418.txt,17,find . -name release_01418.txt
release_01921.txt,17,find . -name release_01921.txt
release_01983.txt,17,find . -name release_01983.txt
release_02396.txt,17,find . -name release_02396.txt
release_00129.txt,61,find . -name release_00129.txt
release_02134.txt,66,find . -name release_02134.txt
release_02882.txt,66,find . -name release_02882.txt
release_01421.txt,73,find . -name release_01421.txt
release_03571.txt,25,find . -name release_03571.txt
release_03685.txt,14,find . -name release_03685.txt
release_03719.txt,,find . -name release_03719.txt
release_03729.txt,14,find . -name release_03729.txt
release_03837.txt,14,find . -name release_03837.txt
release_03949.txt,,find . -name release_03949.txt
release_04038.txt,,find . -name release_04038.txt
release_04187.txt,,find . -name release_04187.txt
release_04350.txt,,find . -name release_04350.txt
release_04458.txt,,find . -name release_04458.txt
release_04661.txt,,find . -name release_04661.txt
release_04730.txt,,find . -name release_04730.txt
release_04748.txt,,find . -name release_04748.txt
release_04883.txt,,find . -name release_04883.txt
release_04979.txt,,find . -name release_04979.txt
release_04998.txt,,find . -name release_04998.txt
release_05323.txt,,find . -name release_05323.txt
release_05582.txt,,find . -name release_05582.txt
release_05631.txt,,find . -name release_05631.txt
release_05693.txt,,find . -name release_05693.txt
release_05788.txt,,find . -name release_05788.txt
release_05799.txt,,find . -name release_05799.txt
release_05815.txt,,find . -name release_05815.txt
release_05852.txt,,find . -name release_05852.txt
release_05982.txt,,find . -name release_05982.txt
release_06031.txt,,find . -name release_06031.txt
release_06142.txt,,find . -name release_06142.txt
release_06168.txt,,find . -name release_06168.txt
release_06338.txt,,find . -name release_06338.txt
release_06375.txt,,find . -name release_06375.txt
release_06514.txt,,find . -name release_06514.txt
release_07367.txt,,find . -name release_07367.txt
release_07439.txt,,find . -name release_07439.txt
release_07522.txt,,find . -name release_07522.txt
release_07625.txt,,find . -name release_07625.txt
release_07703.txt,,find . -name release_07703.txt
release_08087.txt,,find . -name release_08087.txt
release_08196.txt,,find . -name release_08196.txt
release_08445.txt,,find . -name release_08445.txt
release_08454.txt,,find . -name release_08454.txt
release_08550.txt,,find . -name release_08550.txt
release_08713.txt,,find . -name release_08713.txt
release_08803.txt,,find . -name release_08803.txt
release_08849.txt,,find . -name release_08849.txt
release_09018.txt,,find . -name release_09018.txt
release_09379.txt,,find . -name release_09379.txt
release_09381.txt,,find . -name release_09381.txt
release_09382.txt,,find . -name release_09382.txt
release_10547.txt,,find . -name release_10547.txt
release_10679.txt,,find . -name release_10679.txt
release_10735.txt,,find . -name release_10735.txt
release_10905.txt,,find . -name release_10905.txt
release_10968.txt,,find . -name release_10968.txt
release_11216.txt,,find . -name release_11216.txt
release_11304.txt,,find . -name release_11304.txt
release_11619.txt,,find . -name release_11619.txt
release_11717.txt,,find . -name release_11717.txt
release_11894.txt,,find . -name release_11894.txt
release_12059.txt,,find . -name release_12059.txt
release_12617.txt,,find . -name release_12617.txt
release_12683.txt,,find . -name release_12683.txt
