case,prosecutors
1,Chritopher J. Perras; David Zabel; Tris Hunt
2,Angie Cha; Hydee Hawkins
3,Bridget M. Brennan; Kristy Parker; Thomas Getz
4,Benjamin B. Wagner; Chiraag Bains; R. Steven Lapham
5,Jared Fishman; Mona Furst; Risa Berkower
6,Wendy J. Olson
7,Kevin Oregan; Paul H. Smyth
8,Eric L. Gibson; Gerard Hogan; Myesha Braden; Shan Patel    
9,Kristy Parker; Margo K. Brodie; Pamela K. Chen    
10,Gerard Hogan; Saeed Mody
11,Christine M. Siscaretti; Mark Blumberg; Mary J. Mudrick    
12,Chiraag Bains; Glenda R. Haynes; Paige M. Fitzgerald; Sheldon L. Beer;    
13,Angie Cha; P. Michael Cunningham
14,Jared Fishman; Nicholas Durham; Ruben R. Perez
15,Julia Gegenheimer; Mack E. Jenkins; Douglas M. Miller; Patricia Sumner
16,Saeed Mody; Tracey Batson
17,Dana Mulhauser; Michael Freeman
18,David Ketchmark; Sheldon L. Beer
19,Brad Parham; Christopher Lomax
20,Christine M. Siscaretti; Rachel Kincaid; Sara Beth Myers
21,Brent Alan Gray; Nicole Lee Ndumele
22,Kevonne Small; Mary J. Mudrick
23,Fara Gold; William E. Fitzgerald
24,Chris Pooler; Myesha Braden
25,Joe Magliolo; Ruben R. Perez; Olimpia Michel; Ruben R. Perez; Saeed Mody
26,Erin Aslan; Mary J. Mudrick
27,Angela Munoz-Kaphing; Olimpia Michel; Angela Munoz-Kaphing; Olimpia Michel
28,Josephine W. Thomas; William E. Nolan
29,Roy Conn; William E. Fitzgerald
30,Jared Fishman; Mona Furst; Risa Berkower
31,Cindy Chung; Henry Leventis; John Ray White
32,Faithe Moore Taylor; Richard P. Barrett; Betsy Biffle
33,Reema El-Amamy; Saeed Mody
34,Edward Chung; Russell Carlberg
35,Pamela Thompson; Sanjay Patel
36,Cara Foos Pierce; Saeed Mody
37,Fara Gold; Hannah Horsley
38,Ann M. Anaya; Nicole Lee Ndumele
39,C. Douglas Kern; Carolyn K. Delaney; Michael J. Frank; Benjamin Wagner
40,"Harry C. Wallace, Jr.; Samantha Trepel"
41,Alex Lewis; Victor Boutros
42,Gabriel Davis; Megan Gaffney
43,Marc Anton; Michael Thakur; Steve Curran; Taryn Meeks
44,Erin Aslan; Wendy Olson
45,S. David Schiller; Saeed Mody; Ryan Murgua
46,Bruce Miyake; Nicholas Durham
47,Cindy K. Chung; Rachael L. Dizard; Tona Boyd
48,Fara Gold; Gerard Hogan; Roberto Ortega
49,Adriana Vieco; Errin Martin
50,Angie Cha; Holland S. Kastrin; Aejean Cha; Mark T. Baker
51,Mary J. Mudrick; Michael J. Frank
52,Blanche Cook; Nicholas Murphy
53,Matt Chester; Risa Berkower
54,Jay Golden; Julia Gegenheimer; Sheldon L. Beer
55,A. Bradley Parham; Michael J. Frank
56,Aejean Cha; Wendy J. Olson
57,Cindy Chung; Edward Chung; Kyra E. Jenner
59,Bruce Miyake; Edward Caspar
60,Carlos Esqueda; Nicholas Durham
61,J. Drew Yeates; Rose E. Gibson
62,Kate Suh; Saeed Mody; Sharad S. Khandelwal
63,Daniel George; Daniel Irick; Gabriel Davis
64,Dana Mulhauser; Megan A. Healy
66,Anthony Morfitt; Christopher J. Perras
67,Mary J. Mudrick; Myesha Braden
69,Chiraag Bains; Jerusha T. Adams
70,John Klassen; Victor Boutros
71,Bruce Miyake; Saeed Mody
72,C. Patrick Hogeboom III; Cindy Chung; John Richmond
