id, topics,components,pr_number
0,Tax; ,"Tax Division; USAO - Florida, Southern; ",18-484; 
1,None,Community Oriented Policing Services (COPS); Office of the Attorney General; ,18-483; 
2,None,Civil Rights Division; Civil Rights - Disability Rights Section; Civil Rights - Housing and Civil Enforcement Section; ,18-482; 
3,Grants; Immigration; ,Office of the Attorney General; ,18-480; 
4,Financial Fraud; Foreign Corruption; ,"Criminal Division; USAO - Florida, Southern; ",18-477; 
5,Environment; ,Environment and Natural Resources Division; ,18-478; 
6,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 476; 
7,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 475; 
8,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 474; 
9,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 472; 
10,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 471; 
11,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 470; 
12,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 498; 
13,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 468; 
14,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 -465; 
15,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 464; 
16,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 467; 
17,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 473; 
18,None,Office of Justice Programs (OJP); Office for Victims of Crime (OJP); ,18 - 466; 
19,Financial Fraud; Project Safe Childhood; ,Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Arizona; ,18-463; 
20,Public Corruption; ,Criminal Division; ,18-461; 
21,Public Corruption; ,"Criminal Division; USAO - Georgia, Middle; ",18-549; 
22,Counterterrorism; ,"National Security Division (NSD); USAO - Ohio, Northern; ",18-462; 
23,Public Corruption; ,"Criminal Division; USAO - Texas, Southern; ",18-460; 
24,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-458; 
25,Tax; ,"Tax Division; USAO - Florida, Southern; ",18-457; 
26,None,"Drug Enforcement Administration (DEA); USAO - New York, Eastern; ",18 - 456; 
27,False Claims Act; Health Care Fraud; ,Civil Division; USAO - Arizona; ,18-454; 
28,Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - Texas, Northern; ",18-453; 
29,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Texas, Eastern; ",18-452; 
30,Tax; ,Tax Division; USAO - Kansas; ,18-451; 
31,Tax; ,Tax Division; ,18-450; 
32,Antitrust; ,Antitrust Division; ,18-449; 
33,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; Office of the Attorney General; ,None
34,Asset Forfeiture; ,"Asset Forfeiture Program; Criminal Division; USAO - New York, Southern; ",18-447; 
35,Tax; ,Tax Division; ,18-446; 
36,Environment; ,Environment and Natural Resources Division; ,18-443; 
37,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Florida, Southern; ",18-444; 
38,Tax; ,"Tax Division; USAO - North Carolina, Middle; ",18-439; 
39,Antitrust; ,Antitrust Division; ,18-440; 
40,Tax; ,"Tax Division; USAO - Pennsylvania, Western; ",18-438; 
41,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,18-432; 
42,None,Criminal Division; USAO - Massachusetts; ,18-437; 
43,None,Criminal Division; ,18 - 434; 
44,None,Criminal Division; ,18 - 435; 
45,Tax; ,Tax Division; ,18-436; 
46,Antitrust; ,Antitrust Division; ,18-433; 
47,Drug Trafficking; Opioids; ,Criminal Division; ,18-431; 
48,Tax; ,Tax Division; ,18-428; 
49,None,Criminal Division; ,18 - 429; 
50,None,Criminal Division; ,18 - 427; 
51,Civil Rights; Hate Crimes; ,"Civil Rights Division; USAO - Tennessee, Middle; ",18-425; 
52,None,Criminal Division; ,18 - 426; 
53,None,Criminal Division; ,18 - 424; 
54,None,"Criminal Division; USAO - Tennessee, Western; ",18-421; 
55,Public Corruption; ,"Criminal Division; USAO - Virginia, Eastern; ",18-422; 
56,Project Safe Childhood; ,"Criminal Division; USAO - Texas, Southern; ",18-420; 
57,None,Office of the Attorney General; ,18 - 418; 
58,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-419; 
59,Health Care Fraud; ,Office of the Attorney General; ,18 - 416; 
60,Immigration; ,Office of the Attorney General; ,18-417; 
61,Tax; ,Tax Division; ,18-415; 
62,Environment; ,Environment and Natural Resources Division; ,18-414; 
63,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-413; 
64,Tax; ,"Tax Division; USAO - Alabama, Middle; ",18-412; 
65,Tax; ,"Tax Division; USAO - Florida, Southern; ",18-411; 
66,None,Civil Rights Division; Civil Rights - Criminal Section; ,18-410; 
