01: 1164
02: 7762,8450,8458
03: 4640,7365,7882,8904,9039
04: 4998,5852,5982,6031,7439
05: 1568,1902,2759
06: 5799
07: 10547
08: 9984,10258,10619,11591
09: 11894,11894,12617,12683
10: 8087,8445,8803
11: 8713,9379
12: 3032,4350,4458,4661,4730,4739,4883,4979,5582,7522,7625,8550
13: 8166,8166,8166,8166
14: 2927,3075,3685,3729,3837
15: 63,2486
16: 214,429,824,900,1266
17: 1921,1983,2396
18: 8203,8606,8732
19: 7703,8196
20: 51
21: 7122
22: 10679
23: 9424
24: 8849
25: 3571,4038
26: 11833
27: 1527,1896
28: 222
29: 12543
30: 1496
31: 8982,9413
32: 3483,7437
33: 6142,6514,7367
34: 10735,11304
35: 7371,7953
36: 5082,5795
37: 6865
38: 9477
39: 10952,12506
40: 695,1139
41: 9153,10164
42: 132
43: 915
44: 11717,12059
45: 354,3202
46: 6857,7186
47: 1499
48: 8774,9446,10501
49: 7245,7721
50: 5878,6039
51: 11789
52: 6375
53: 5631
54: 1251,1790
55: 11619
56: 1314,1626
57: 9259,9803,9822,9971
58: 8906,9920
59: 9382
60: 5592,5903,6465
61: 129
62: 1114
63: 3090
64: 2270,2669
65: 215,1339
66: 2134,2882
67: 10968
68: 10905
69: 4748,5693,5788,6168
70: 9018,9381
71: 3468,3873
72: 3891
73: 11216
