7351,None,Civil Division; ,13-193; 
7352,None,Tax Division; ,13-192; 
7353,None,Criminal Division; ,13-191; 
7354,None,Criminal Division; ,13-190; 
7355,None,Office of the Attorney General; ,13-188; 
7356,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,13-187; 
7357,None,Criminal Division; ,13-185; 
7358,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,13-184; 
7359,None,Civil Division; ,13-183; 
7360,None,Environment and Natural Resources Division; ,13-181; 
7361,None,Criminal Division; ,13-181; 
7362,Consumer Protection; ,Office of the Attorney General; ,13-180; 
7363,None,Tax Division; ,13-178; 
7364,None,Tax Division; ,13-177; 
7365,Hate Crimes; ,Civil Rights Division; ,13-176; 
7366,None,Tax Division; ,13-175; 
7367,Hate Crimes; ,Civil Rights Division; ,13-174; 
7368,None,Civil Rights Division; ,13-173; 
7369,None,Civil Division; ,13-172; 
7370,None,Antitrust Division; ,13-171; 
7371,Hate Crimes; ,Civil Rights Division; ,13-170; 
7372,None,Civil Division; ,13-169; 
7373,None,Environment and Natural Resources Division; ,13-168; 
7374,None,Tax Division; ,13-167; 
7375,None,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,13-166; 
7376,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,13-165; 
7377,Consumer Protection; ,Civil Division; ,13-163; 
7378,Consumer Protection; ,Criminal Division; ,13-162; 
7379,None,Antitrust Division; Criminal Division; ,13-161; 
7380,None,Criminal Division; ,13-160; 
7381,None,Office of the Attorney General; ,13-159; 
7382,None,Tax Division; ,13-158; 
7383,None,Antitrust Division; ,13-157; 
7384,None,Office of the Attorney General; ,13-156; 
7385,None,Environment and Natural Resources Division; ,13-153; 
7386,None,Tax Division; ,13-152; 
7387,None,Tax Division; ,13-151; 
7388,None,Tax Division; ,13-150; 
7389,Indian Country Law and Justice; ,Office of Public Affairs; ,13-148; 
7390,None,Tax Division; ,13-149; 
7391,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,13-147; 
7392,None,Tax Division; ,13-146; 
7393,None,Criminal Division; ,13-145; 
7394,Consumer Protection; ,Civil Division; ,13-144; 
7395,None,Tax Division; ,13-143; 
7396,None,Criminal Division; ,13-142; 
7397,None,National Security Division (NSD); ,13-141; 
7398,None,Criminal Division; ,13-140; 
7399,Consumer Protection; ,Civil Division; ,13-139; 
7400,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,13-138; 
7401,None,Tax Division; ,13-137; 
7402,None,Civil Rights Division; ,13-136; 
7403,None,Antitrust Division; ,13-134; 
7404,None,Civil Rights Division; ,13-133; 
7405,None,Tax Division; ,13-132; 
7406,None,Tax Division; ,13-131; 
7407,None,Tax Division; ,13-130; 
7408,None,Tax Division; ,13-129; 
7409,None,Office of the Attorney General; ,13-128; 
7410,None,National Security Division (NSD); ,13-122; 
7411,None,Antitrust Division; ,13-126; 
7412,None,Criminal Division; ,13-125; 
7413,None,Tax Division; ,13-124; 
7414,None,Office of the Attorney General; ,13-123; 
7415,None,Civil Rights Division; ,13-121; 
7416,None,Tax Division; ,13-120; 
7417,None,Tax Division; ,13-119; 
7418,None,Tax Division; ,13-118; 
7419,None,Criminal Division; ,13-117; 
7420,None,Criminal Division; ,13-116; 
7421,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,13-115; 
7422,None,Tax Division; ,13-114; 
7423,Consumer Protection; ,Civil Division; ,13-113; 
7424,None,Tax Division; ,13-112; 
7425,None,Criminal Division; ,13-111; 
7426,None,Criminal Division; ,13-110; 
7427,None,Civil Division; ,13-109; 
7428,None,Criminal Division; ,13-108; 
7429,None,Environment and Natural Resources Division; ,13-107; 
7430,None,Criminal Division; ,13-106; 
7431,None,Tax Division; ,13-105; 
7432,None,National Security Division (NSD); ,13-104; 
7433,None,Criminal Division; ,13-102; 
7434,None,Criminal Division; ,13-101; 
7435,None,Tax Division; ,13-100; 
7436,None,Tax Division; ,13-099; 
7437,Hate Crimes; ,Civil Rights Division; ,13-098; 
7438,None,Civil Rights Division; ,13-096; 
7439,Hate Crimes; ,Civil Rights Division; ,13-097; 
7440,None,Criminal Division; ,13-095; 
7441,None,Civil Rights Division; ,13-093; 
7442,None,Criminal Division; ,13-092; 
7443,None,Criminal Division; ,13-090; 
7444,None,Tax Division; ,13-091; 
7445,None,Criminal Division; ,13-089; 
7446,None,Criminal Division; ,13-088; 
7447,None,Civil Division; ,13-087; 
7448,None,Tax Division; ,13-086; 
7449,None,Tax Division; ,13-085; 
7450,None,Environment and Natural Resources Division; ,13-083; 
7451,None,Criminal Division; ,13-082; 
7452,None,Tax Division; ,13-081; 
7453,None,Tax Division; ,13-080; 
7454,None,Criminal Division; ,13-079; 
7455,None,Environment and Natural Resources Division; ,13-077; 
7456,None,National Security Division (NSD); ,13-076; 
7457,None,Tax Division; ,13-075; 
7458,None,Criminal Division; ,13-074; 
7459,None,Criminal Division; ,13-073; 
7460,None,Tax Division; ,13-072; 
7461,None,Criminal Division; ,13-071; 
7462,None,Antitrust Division; ,13-069; 
7463,None,Criminal Division; ,13-068; 
7464,None,Civil Rights Division; ,13-067; 
7465,None,Tax Division; ,13-066; 
7466,None,Criminal Division; ,13-065; 
7467,None,Criminal Division; ,13-063; 
7468,None,Criminal Division; ,13-064; 
7469,None,Tax Division; ,13-062; 
7470,StopFraud; ,Civil Rights Division; ,13-061; 
7471,None,Criminal Division; ,13-060; 
7472,None,Criminal Division; ,13-059; 
7473,None,Civil Rights Division; ,13-058; 
7474,None,Civil Rights Division; ,13-057; 
7475,None,Civil Rights Division; ,13-056; 
7476,StopFraud; ,Tax Division; ,13-055; 
7477,None,Civil Rights Division; ,13-053; 
7478,None,Civil Rights Division; ,13-054; 
7479,None,Tax Division; ,13-052; 
7480,None,Criminal Division; ,13-051; 
7481,None,Tax Division; ,13-049; 
7482,None,Criminal Division; ,13-047; 
7483,None,Environment and Natural Resources Division; ,13-048; 
7484,None,Criminal Division; ,13-046; 
7485,None,Civil Rights Division; ,13-045; 
7486,None,Criminal Division; ,13-044; 
7487,None,Criminal Division; ,13-043; 
7488,None,Antitrust Division; ,13-040; 
7489,None,Criminal Division; ,13-041; 
7490,None,Tax Division; ,13-042; 
7491,None,Antitrust Division; ,13-039; 
7492,None,Civil Rights Division; ,13-038; 
7493,None,Civil Rights Division; ,13-037; 
7494,None,Environment and Natural Resources Division; ,13-036; 
7495,Consumer Protection; ,Civil Division; ,13-035; 
7496,None,Criminal Division; ,13-033; 
7497,None,Criminal Division; ,13-034; 
7498,None,Criminal Division; ,13-032; 
7499,None,Civil Rights Division; ,13-031; 
7500,None,Tax Division; ,13-030; 
7501,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,13-029; 
7502,None,Criminal Division; ,13-028; 
7503,None,Tax Division; ,13-027; 
7504,None,Civil Rights Division; ,13-026; 
7505,None,Criminal Division; ,13-025; 
7506,None,Office of the Attorney General; ,13-024; 
7507,None,Civil Division; ,13-023; 
7508,None,Tax Division; ,13-022; 
7509,None,Civil Rights Division; ,13-021; 
7510,None,Civil Rights Division; ,13-020; 
7511,None,Civil Rights Division; ,13-019; 
7512,None,Tax Division; ,13-018; 
7513,None,Criminal Division; ,13-017; 
7514,None,Tax Division; ,13-016; 
7515,None,Environment and Natural Resources Division; ,13-014; 
7516,None,Criminal Division; ,13-015; 
7517,None,Criminal Division; ,13-013; 
7518,None,Tax Division; ,13-012; 
7519,Consumer Protection; ,Civil Division; ,13-011; 
7520,None,Criminal Division; ,13-010; 
7521,None,Criminal Division; ,13-009; 
7522,Hate Crimes; ,Civil Rights Division; ,13-008; 
7523,None,Antitrust Division; ,13-007; 
7524,None,Civil Division; ,13-006; 
