id,date_id,title,rel_url,date
1,0,South Florida Certified Public Accountant Indicted for Tax Fraud,/opa/pr/south-florida-certified-public-accountant-indicted-tax-fraud,2018-04-13T00:00:00-04:00
2,1,Justice Department Announces Phil Keith as Director of the Office of Community Oriented Policing Services,/opa/pr/justice-department-announces-phil-keith-director-office-community-oriented-policing-services,2018-04-13T00:00:00-04:00
3,2,"Justice Department Obtains Settlement of Case Alleging Disability-Based Discrimination in Housing in Ellensburg, Washington",/opa/pr/justice-department-obtains-settlement-case-alleging-disability-based-discrimination-housing,2018-04-13T00:00:00-04:00
4,3,"Justice Department Sends 1373 Compliance Letter to City Of Oakland, Document Request and Subpoena Threat to Two Other Jurisdictions",/opa/pr/justice-department-sends-1373-compliance-letter-city-oakland-document-request-and-subpoena,2018-04-13T00:00:00-04:00
5,4,Aruban Telecommunications Purchasing Official Pleads Guilty to Money Laundering Conspiracy Involving Violations of the Foreign Corrupt Practices Act,/opa/pr/aruban-telecommunications-purchasing-official-pleads-guilty-money-laundering-conspiracy,2018-04-13T00:00:00-04:00
6,5,Grand Jury Charges Pesticide Applicator for Applying Restricted-Use Pesticide to Residences in The U.S. Virgin Islands,/opa/pr/grand-jury-charges-pesticide-applicator-applying-restricted-use-pesticide-residences-us,2018-04-13T00:00:00-04:00
7,6,Justice Department Honors Arizona Detective; FBI Agent with Federal Service Award ,/opa/pr/justice-department-honors-arizona-detective-fbi-agent-federal-service-award,2018-04-13T00:00:00-04:00
8,7,Justice Department Honors Asset Forfeiture Program Team with the Crimes Victims Financial Restoration Award,/opa/pr/justice-department-honors-asset-forfeiture-program-team-crimes-victims-financial-restoration,2018-04-13T00:00:00-04:00
9,8,Justice Department Honors Former Office for Victims of Crime Director for Her Commitment to Victims Rights and Services,/opa/pr/justice-department-honors-former-office-victims-crime-director-her-commitment-victims-rights,2018-04-13T00:00:00-04:00
10,9,Justice Department Honors Indiana Victim Advocate,/opa/pr/justice-department-honors-indiana-victim-advocate,2018-04-13T00:00:00-04:00
11,10,Justice Department Honors Kentucky Sexual Assault Survivor and Activist ,/opa/pr/justice-department-honors-kentucky-sexual-assault-survivor-and-activist,2018-04-13T00:00:00-04:00
12,11,Justice Department Honors Muscogee (Creek) Nation Victim Advocate ,/opa/pr/justice-department-honors-muscogee-creek-nation-victim-advocate,2018-04-13T00:00:00-04:00
13,12,Justice Department Honors New Jersey Human Trafficking Victim Advocate ,/opa/pr/justice-department-honors-new-jersey-human-trafficking-victim-advocate,2018-04-13T00:00:00-04:00
14,13,Justice Department Honors Oklahoma City Chief of Police for Service to Victims Of Crime,/opa/pr/justice-department-honors-oklahoma-city-chief-police-service-victims-crime,2018-04-13T00:00:00-04:00
15,14,"Justice Department Honors Travis County, Texas Sheriffs Office Volunteer Program ",/opa/pr/justice-department-honors-travis-county-texas-sheriff-s-office-volunteer-program,2018-04-13T00:00:00-04:00
16,15,Justice Department Honors Tennessee Woman for Her Service to Victims of Crime and Their Families,/opa/pr/justice-department-honors-tennessee-woman-her-service-victims-crime-and-their-families,2018-04-13T00:00:00-04:00
17,16,Justice Department Honors Delaware Victim Advocate ,/opa/pr/justice-department-honors-delaware-victim-advocate,2018-04-13T00:00:00-04:00
18,17,Justice Department Honors Former San Diego City Attorney for Contributions to Victims Services,/opa/pr/justice-department-honors-former-san-diego-city-attorney-contributions-victims-services,2018-04-13T00:00:00-04:00
19,18,Justice Department Honors Individuals and Teams for Advancing Rights and Services for Crime Victims,/opa/pr/justice-department-honors-individuals-and-teams-advancing-rights-and-services-crime-victims,2018-04-13T00:00:00-04:00
20,19,"Backpages Co-founder and CEO, As Well As Several Backpage-Related Corporate Entities, Enter Guilty Pleas",/opa/pr/backpage-s-co-founder-and-ceo-well-several-backpage-related-corporate-entities-enter-guilty,2018-04-12T00:00:00-04:00
21,20,Former Puerto Rico Senator and Businessman Sentenced to Prison for Bribery,/opa/pr/former-puerto-rico-senator-and-businessman-sentenced-prison-bribery,2018-04-12T00:00:00-04:00
22,21,Former Local Judge Charged With Soliciting Sexual Contact  in Exchange for Favorable Action on Traffic Offenses,/opa/pr/former-local-judge-charged-soliciting-sexual-contact-exchange-favorable-action-traffic,2018-04-12T00:00:00-04:00
23,22,Three Men Plead Guilty to Concealing Sending Funds to Anwar Al-Awlaki,/opa/pr/three-men-plead-guilty-concealing-sending-funds-anwar-al-awlaki,2018-04-12T00:00:00-04:00
24,23,"Former U.S. Congressman Convicted of Mail and Wire Fraud, Campaign Finance Violations, Money Laundering and Filing a False Tax Return",/opa/pr/former-us-congressman-convicted-mail-and-wire-fraud-campaign-finance-violations-money,2018-04-12T00:00:00-04:00
25,24,Seattle Area Man Sentenced to 33 Years in Prison for Sex Trafficking Teens and Young Women,/opa/pr/seattle-area-man-sentenced-33-years-prison-sex-trafficking-teens-and-young-women,2018-04-12T00:00:00-04:00
26,25,Florida Escort Service Owner Pleads Guilty to Underreporting Income,/opa/pr/florida-escort-service-owner-pleads-guilty-underreporting-income,2018-04-12T00:00:00-04:00
27,26,Fugitive Wanted for the Kidnapping and Murder of a Federal Agent is Added to the FBIs Ten Most Wanted Fugitives List,/opa/pr/fugitive-wanted-kidnapping-and-murder-federal-agent-added-fbi-s-ten-most-wanted-fugitives,2018-04-12T00:00:00-04:00
28,27,Banner Health Agrees to Pay Over $18 Million to Settle False Claims Act Allegations,/opa/pr/banner-health-agrees-pay-over-18-million-settle-false-claims-act-allegations,2018-04-12T00:00:00-04:00
29,28,Chinese Citizen Pleads Guilty to Mail Fraud Related to Dietary Supplement Scheme,/opa/pr/chinese-citizen-pleads-guilty-mail-fraud-related-dietary-supplement-scheme,2018-04-12T00:00:00-04:00
30,29,Rotech Agrees to Pay $9.68 Million to Settle False Claims Act Liability Related to Improper Billing for Portable Oxygen,/opa/pr/rotech-agrees-pay-968-million-settle-false-claims-act-liability-related-improper-billing,2018-04-12T00:00:00-04:00
31,30,Owner of Kansas Medical Staffing Company Indicted in Employment Tax Scheme,/opa/pr/owner-kansas-medical-staffing-company-indicted-employment-tax-scheme,2018-04-12T00:00:00-04:00
32,31,Owner of Michigan Marketing Company Charged with Tax Crimes,/opa/pr/owner-michigan-marketing-company-charged-tax-crimes,2018-04-12T00:00:00-04:00
33,32,Principal Deputy Assistant Attorney General Andrew Finch Delivers Introductory Remarks at the 2018 Antitrust Writing Award Ceremony,/opa/pr/principal-deputy-assistant-attorney-general-andrew-finch-delivers-introductory-remarks-2018,2018-04-12T00:00:00-04:00
34,33,Justice Department Announces Nationwide Initiative to Combat Sexual Harassment in Housing,/opa/pr/justice-department-announces-nationwide-initiative-combat-sexual-harassment-housing,2018-04-12T00:00:00-04:00
35,34,Department of Justice Begins Second Distribution of Funds Recovered Through Asset Forfeiture Totaling $1.2 Billion to Compensate Victims of Bernard Madoff Fraud Scheme,/opa/pr/department-justice-begins-second-distribution-funds-recovered-through-asset-forfeiture,2018-04-12T00:00:00-04:00
36,35,Michigan Healthcare Management Company Employees Indicted in Employment Tax Scheme,/opa/pr/michigan-healthcare-management-company-employees-indicted-employment-tax-scheme,2018-04-12T00:00:00-04:00
37,36,Town of Ticonderoga Agrees to Bring Drinking Water System Into Compliance,/opa/pr/town-ticonderoga-agrees-bring-drinking-water-system-compliance,2018-04-12T00:00:00-04:00
38,37,Bulgarian National Arrested for Conspiracy to Defraud the United States and Illegally Export Prohibited Articles to Syria in Violation of U.S. Export Control Laws,/opa/pr/bulgarian-national-arrested-conspiracy-defraud-united-states-and-illegally-export-prohibited,2018-04-11T00:00:00-04:00
39,38,North Carolina Return Preparer Sentenced to Over 10 Years in Jail for Filing Fraudulent Returns,/opa/pr/north-carolina-return-preparer-sentenced-over-10-years-jail-filing-fraudulent-returns,2018-04-11T00:00:00-04:00
